year,state,city,population,violent_crime,murder_and_non_negligent_man_slaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,crime_index_total,modified_crime_index_total
2000,ALABAMA,Alexander City,16450,,3,8,15,47,,119,658,20,,870,
2000,ALABAMA,Anniston,26075,,6,34,150,378,,1122,2144,232,11,4066,4077
2000,ALABAMA,Athens,20661,,1,2,24,38,,109,573,36,2,783,785
2000,ALABAMA,Auburn,43354,,4,14,37,70,,257,1613,54,,2049,
2000,ALABAMA,Bessemer,31186,,6,21,174,246,,802,2447,234,,3930,
2000,ALABAMA,Birmingham,253868,,79,228,977,1663,,4078,11975,1749,248,20749,20997
2000,ALABAMA,Cullman,14454,,,4,10,25,,136,621,41,,837,
2000,ALABAMA,Daphne,16593,,,2,7,18,,48,398,15,,488,
2000,ALABAMA,Dothan,59415,,7,50,103,150,,552,2159,123,,3144,
2000,ALABAMA,Enterprise,21943,,,10,23,45,,199,308,34,,619,
2000,ALABAMA,Fairhope,13344,,,2,4,54,,116,420,34,,630,
2000,ALABAMA,Florence,39718,,,7,26,104,,295,1348,31,,1811,
2000,ALABAMA,Fort Payne,13044,,,2,5,8,,98,507,2,,622,
2000,ALABAMA,Gardendale,10499,,,,1,16,,51,322,35,,425,
2000,ALABAMA,Homewood,22496,,,6,62,36,,194,1423,86,,1807,
2000,ALABAMA,Hoover,62491,,3,14,70,24,,243,1514,149,,2017,
2000,ALABAMA,Huntsville,181037,,8,62,299,875,,1882,8330,783,51,12239,12290
2000,ALABAMA,Madison,27595,,,3,20,36,,151,626,35,,871,
2000,ALABAMA,Millbrook,11997,,,4,5,2,,204,220,7,,442,
2000,ALABAMA,Mobile3,243973,,20,54,896,526,,3609,10985,1524,60,17614,17674
2000,ALABAMA,Montgomery,199149,,31,113,605,814,,3467,9795,1436,112,16261,16373
2000,ALABAMA,Moody,10245,,1,4,1,9,,54,155,17,,241,
2000,ALABAMA,Mountain Brook,20147,,,,1,3,,68,341,10,,423,
2000,ALABAMA,Muscle Shoals,11468,,,,2,6,,51,344,,,403,
2000,ALABAMA,Northport,20864,,,5,13,55,,119,607,21,,820,
2000,ALABAMA,Opelika,25342,,6,22,86,521,,482,1616,112,,2845,
2000,ALABAMA,Ozark,16280,,4,8,11,55,,82,552,37,,749,
2000,ALABAMA,Pelham,15722,,,,4,11,,23,358,18,,414,
2000,ALABAMA,Phenix City,28037,,3,7,28,102,,259,652,102,,1153,
2000,ALABAMA,Prattville,27519,,1,10,46,101,,221,1073,62,,1514,
2000,ALABAMA,Prichard,32445,,12,20,214,257,,1103,1456,375,,3437,
2000,ALABAMA,Saraland,13649,,,3,15,17,,88,475,37,,635,
2000,ALABAMA,Scottsboro,14588,,,,6,18,,78,429,45,,576,
2000,ALABAMA,Selma,22159,,1,35,76,451,,798,1822,184,,3367,
2000,ALABAMA,Sheffield,10034,,1,5,5,16,,106,348,13,,494,
2000,ALABAMA,Sylacauga,12305,,,6,14,40,,91,608,22,,781,
2000,ALABAMA,Troy,14183,,1,9,33,95,,203,751,30,,1122,
2000,ALABAMA,Trussville,12417,,,,9,16,,72,382,20,,499,
2000,ALABAMA,Tuscaloosa,86676,,9,68,222,604,,1314,8689,304,,11210,
2000,ALABAMA,Tuskegee,11714,,1,4,9,21,,210,456,22,,723,
2000,ALABAMA,Vestavia Hills,22592,,,2,4,8,,57,257,24,,352,
2000,ALASKA,Anchorage,260900,,10,195,346,973,,1533,8799,1010,101,12866,12967
2000,ALASKA,Fairbanks,33162,,2,60,39,105,,195,1083,196,11,1680,1691
2000,ARIZONA,Apache Junction,24228,,1,7,20,53,,286,932,129,11,1428,1439
2000,ARIZONA,Avondale,32968,,1,6,37,110,,461,1209,232,11,2056,2067
2000,ARIZONA,Bullhead City,31044,,6,12,23,158,,422,936,177,14,1734,1748
2000,ARIZONA,Casa Grande,25672,,2,,45,143,,648,1587,232,11,2657,2668
2000,ARIZONA,Chandler,181517,,4,48,134,259,,1690,5243,923,64,8301,8365
2000,ARIZONA,Douglas,16876,,1,,8,31,,188,628,148,3,1004,1007
